Gmt time,Open,High,Low,Close,Volume
28.10.2021 01:46:00.000,1.15963,1.15971,1.1596,1.15971,26.48
28.10.2021 01:47:00.000,1.15971,1.15971,1.15962,1.15962,27.64
28.10.2021 01:48:00.000,1.15962,1.15973,1.15962,1.15972,34.09
28.10.2021 01:49:00.000,1.15972,1.15981,1.15971,1.1598,48.37
28.10.2021 01:50:00.000,1.15979,1.16,1.15974,1.16,83.44
28.10.2021 01:51:00.000,1.16,1.1601,1.15996,1.16008,155.41
28.10.2021 01:52:00.000,1.16008,1.16037,1.16006,1.16032,77.86
28.10.2021 01:53:00.000,1.16033,1.16038,1.1603,1.16036,98.18
28.10.2021 01:54:00.000,1.16036,1.1604,1.16031,1.16034,34.8
28.10.2021 01:55:00.000,1.16034,1.16036,1.16031,1.16034,32.27
28.10.2021 01:56:00.000,1.16034,1.1604,1.1603,1.1604,39.44
28.10.2021 01:57:00.000,1.16039,1.16045,1.16031,1.1604,81.2
28.10.2021 01:58:00.000,1.16039,1.16043,1.16027,1.16029,92.08
28.10.2021 01:59:00.000,1.16029,1.1604,1.16027,1.1604,180.87
28.10.2021 02:00:00.000,1.16039,1.16047,1.16029,1.1603,131.83
28.10.2021 02:01:00.000,1.1603,1.16043,1.16024,1.16039,222.81
28.10.2021 02:02:00.000,1.16038,1.16044,1.16036,1.16039,132.89
28.10.2021 02:03:00.000,1.16038,1.16048,1.16038,1.16043,62.32
28.10.2021 02:04:00.000,1.16044,1.16049,1.16044,1.16044,63.6
28.10.2021 02:05:00.000,1.16045,1.16062,1.1604,1.16061,51.36
28.10.2021 02:06:00.000,1.1606,1.16065,1.16059,1.16059,42.47
28.10.2021 02:07:00.000,1.16059,1.1607,1.16059,1.16069,55.92
28.10.2021 02:08:00.000,1.16069,1.16081,1.16069,1.16079,67.6
28.10.2021 02:09:00.000,1.16078,1.1608,1.16066,1.16066,46.99
28.10.2021 02:10:00.000,1.16069,1.1607,1.16059,1.16059,37.01
28.10.2021 02:11:00.000,1.1606,1.16076,1.1606,1.16075,21.71
28.10.2021 02:12:00.000,1.16075,1.16078,1.16074,1.16075,20.32
28.10.2021 02:13:00.000,1.16076,1.16091,1.16076,1.16085,73.91
28.10.2021 02:14:00.000,1.16086,1.16088,1.16085,1.16086,30.13
28.10.2021 02:15:00.000,1.16085,1.16089,1.1608,1.1608,36.5
28.10.2021 02:16:00.000,1.1608,1.1608,1.1607,1.1607,65.28
28.10.2021 02:17:00.000,1.16071,1.16071,1.16067,1.16069,41.55
28.10.2021 02:18:00.000,1.16068,1.1607,1.16064,1.16065,20.79
28.10.2021 02:19:00.000,1.16065,1.1607,1.16046,1.16051,63.57
28.10.2021 02:20:00.000,1.16051,1.16061,1.1605,1.16058,52.74
28.10.2021 02:21:00.000,1.16058,1.16061,1.1605,1.16055,44.91
28.10.2021 02:22:00.000,1.16054,1.16055,1.16048,1.16048,52.61
28.10.2021 02:23:00.000,1.16049,1.16052,1.16046,1.16047,28.82
28.10.2021 02:24:00.000,1.16046,1.16053,1.16046,1.16048,52.3
28.10.2021 02:25:00.000,1.16047,1.1605,1.16046,1.1605,11.32
28.10.2021 02:26:00.000,1.16049,1.1605,1.16045,1.16047,77.85
28.10.2021 02:27:00.000,1.16047,1.16047,1.1604,1.1604,29.7
28.10.2021 02:28:00.000,1.1604,1.16049,1.1604,1.16047,64.62
28.10.2021 02:29:00.000,1.16047,1.16047,1.16042,1.16042,27.9
28.10.2021 02:30:00.000,1.16043,1.16045,1.1604,1.16045,279.13
28.10.2021 02:31:00.000,1.16045,1.16051,1.16041,1.16047,36.44
28.10.2021 02:32:00.000,1.16046,1.16046,1.1604,1.1604,10.12
28.10.2021 02:33:00.000,1.16041,1.16047,1.1604,1.16042,24.22
28.10.2021 02:34:00.000,1.1604,1.16045,1.16038,1.16045,17.2
28.10.2021 02:35:00.000,1.16044,1.16045,1.16039,1.16039,62.19
28.10.2021 02:36:00.000,1.1604,1.16066,1.1604,1.16062,51.85
28.10.2021 02:37:00.000,1.16063,1.16072,1.16052,1.16052,71.41
28.10.2021 02:38:00.000,1.16051,1.16065,1.1605,1.16065,42.74
28.10.2021 02:39:00.000,1.16065,1.16073,1.16065,1.16072,41.74
28.10.2021 02:40:00.000,1.16072,1.16081,1.16069,1.16081,20.14
28.10.2021 02:41:00.000,1.1608,1.16084,1.16076,1.16076,27.43
28.10.2021 02:42:00.000,1.16077,1.16081,1.16071,1.16075,37.01
28.10.2021 02:43:00.000,1.16075,1.16088,1.16075,1.16088,20.72
28.10.2021 02:44:00.000,1.16089,1.16092,1.16086,1.1609,63.34
28.10.2021 02:45:00.000,1.1609,1.16094,1.16087,1.16089,72.89
28.10.2021 02:46:00.000,1.1609,1.1609,1.16077,1.1608,39.93
28.10.2021 02:47:00.000,1.16082,1.16085,1.16078,1.1608,18.84
28.10.2021 02:48:00.000,1.16079,1.16081,1.1607,1.1608,57.24
28.10.2021 02:49:00.000,1.1608,1.16086,1.16079,1.16084,11.32
28.10.2021 02:50:00.000,1.16085,1.16095,1.16084,1.16092,26.91
28.10.2021 02:51:00.000,1.16094,1.16096,1.16091,1.16091,23.21
28.10.2021 02:52:00.000,1.1609,1.16091,1.16086,1.1609,20.28
28.10.2021 02:53:00.000,1.1609,1.1609,1.16086,1.16089,47.43
28.10.2021 02:54:00.000,1.16089,1.1609,1.16089,1.16089,17.99
28.10.2021 02:55:00.000,1.16089,1.16089,1.16079,1.16082,37
28.10.2021 02:56:00.000,1.16081,1.16085,1.1608,1.16085,23.77
28.10.2021 02:57:00.000,1.16086,1.16091,1.16082,1.16084,19.2
28.10.2021 02:58:00.000,1.16082,1.16085,1.1608,1.16081,23.51
28.10.2021 02:59:00.000,1.16081,1.16089,1.16078,1.16089,66.58
28.10.2021 03:00:00.000,1.16089,1.16089,1.16079,1.1608,121.42
28.10.2021 03:01:00.000,1.16083,1.16087,1.16073,1.16073,51.05
28.10.2021 03:02:00.000,1.16074,1.16074,1.16069,1.16069,49.4
28.10.2021 03:03:00.000,1.16069,1.16075,1.16069,1.16069,29.67
28.10.2021 03:04:00.000,1.1607,1.16073,1.16065,1.16068,18.41
28.10.2021 03:05:00.000,1.16067,1.16075,1.16066,1.16073,14.25
28.10.2021 03:06:00.000,1.16072,1.16075,1.16068,1.16068,15.06
28.10.2021 03:07:00.000,1.16069,1.16072,1.16065,1.16068,9.45
28.10.2021 03:08:00.000,1.16067,1.16069,1.16061,1.16064,16.89
28.10.2021 03:09:00.000,1.16064,1.1607,1.16064,1.1607,15.37
28.10.2021 03:10:00.000,1.16068,1.1607,1.16066,1.1607,29.19
28.10.2021 03:11:00.000,1.16071,1.16071,1.16066,1.16068,47.14
28.10.2021 03:12:00.000,1.16068,1.16069,1.16065,1.16065,20.47
28.10.2021 03:13:00.000,1.16065,1.16065,1.1606,1.1606,20.17
28.10.2021 03:14:00.000,1.1606,1.1606,1.1606,1.1606,0
28.10.2021 03:15:00.000,1.16061,1.16065,1.1606,1.16064,20.13
28.10.2021 03:16:00.000,1.16063,1.16064,1.16056,1.16056,26.51
28.10.2021 03:17:00.000,1.16057,1.16066,1.16057,1.16065,26.45
28.10.2021 03:18:00.000,1.16064,1.16069,1.16064,1.16065,28.46
28.10.2021 03:19:00.000,1.16064,1.16065,1.16059,1.16059,14.8
28.10.2021 03:20:00.000,1.16058,1.16058,1.16051,1.16053,27.15
28.10.2021 03:21:00.000,1.16054,1.16054,1.16054,1.16054,33
28.10.2021 03:22:00.000,1.16054,1.16054,1.16051,1.16053,31.09
28.10.2021 03:23:00.000,1.16054,1.16054,1.16043,1.16044,48.26
28.10.2021 03:24:00.000,1.16043,1.16045,1.16043,1.16045,7.44
28.10.2021 03:25:00.000,1.16046,1.16049,1.16046,1.16046,20.36
28.10.2021 03:26:00.000,1.16047,1.16048,1.16045,1.16046,7.67
28.10.2021 03:27:00.000,1.16047,1.16048,1.1604,1.1604,9.24
28.10.2021 03:28:00.000,1.16042,1.16043,1.16041,1.16041,13.71
28.10.2021 03:29:00.000,1.16041,1.16046,1.16041,1.16046,15.07
28.10.2021 03:30:00.000,1.16045,1.16046,1.16041,1.16041,19.91
28.10.2021 03:31:00.000,1.16042,1.16049,1.16041,1.16047,11.28
28.10.2021 03:32:00.000,1.16048,1.16048,1.16037,1.16042,30.07
28.10.2021 03:33:00.000,1.16042,1.16042,1.16029,1.1603,28.61
28.10.2021 03:34:00.000,1.16029,1.16046,1.16029,1.16046,33.05
28.10.2021 03:35:00.000,1.16047,1.16048,1.16045,1.16046,9.15
28.10.2021 03:36:00.000,1.16048,1.16055,1.16048,1.16055,4.13
28.10.2021 03:37:00.000,1.16054,1.16056,1.16053,1.16055,28.64
28.10.2021 03:38:00.000,1.16054,1.16054,1.16049,1.16049,13.72
28.10.2021 03:39:00.000,1.16047,1.1605,1.16044,1.16044,39.29
28.10.2021 03:40:00.000,1.16045,1.16049,1.16044,1.16046,38
28.10.2021 03:41:00.000,1.16044,1.16049,1.16044,1.16049,12.55
28.10.2021 03:42:00.000,1.16048,1.16049,1.16044,1.16048,21.37
28.10.2021 03:43:00.000,1.16049,1.16054,1.16048,1.1605,87.49
28.10.2021 03:44:00.000,1.16051,1.16052,1.16049,1.16049,22.96
28.10.2021 03:45:00.000,1.1605,1.1605,1.16041,1.16042,40.78
28.10.2021 03:46:00.000,1.16042,1.16046,1.1604,1.16046,40.96
28.10.2021 03:47:00.000,1.16047,1.16047,1.16043,1.16045,25.49
28.10.2021 03:48:00.000,1.16044,1.16044,1.1604,1.16043,23.98
28.10.2021 03:49:00.000,1.16044,1.1605,1.16044,1.16049,12.14
28.10.2021 03:50:00.000,1.16051,1.16051,1.16049,1.16049,6.33
28.10.2021 03:51:00.000,1.1605,1.1605,1.16045,1.16045,4.08
28.10.2021 03:52:00.000,1.16045,1.16049,1.16044,1.16044,14.47
28.10.2021 03:53:00.000,1.16047,1.1605,1.16047,1.16049,10.55
28.10.2021 03:54:00.000,1.16051,1.16051,1.1605,1.1605,6.82
28.10.2021 03:55:00.000,1.16049,1.16052,1.16049,1.1605,11.5
28.10.2021 03:56:00.000,1.16051,1.16054,1.16051,1.16054,3.08
28.10.2021 03:57:00.000,1.16055,1.16062,1.16055,1.1606,11.39
28.10.2021 03:58:00.000,1.16059,1.1606,1.16053,1.16054,20.63
28.10.2021 03:59:00.000,1.16054,1.16058,1.16054,1.16057,12.89
